dept_no	year	month	spend	transactions	items
1	2010	01	2129.02	171.0	710.0
1	2010	02	1908.99	169.0	783.0
1	2010	03	2276.32	192.0	798.0
1	2010	04	1879.56	192.0	771.0
1	2010	05	2225.27	182.0	740.0
1	2010	06	1683.84	205.0	734.0
1	2010	07	2618.96	181.0	779.0
1	2010	08	1885.28	164.0	654.0
1	2010	09	2414.95	186.0	771.0
1	2010	10	2232.35	171.0	715.0
1	2010	11	2027.77	178.0	704.0
1	2010	12	2160.24	171.0	703.0
1	2011	01	2517.85	188.0	815.0
1	2011	02	1905.67	147.0	631.0
1	2011	03	2186.43	177.0	734.0
1	2011	04	2282.68	169.0	718.0
1	2011	05	2337.26	175.0	781.0
1	2011	06	1875.19	171.0	615.0
1	2011	07	1932.1	164.0	595.0
1	2011	08	2444.39	192.0	803.0
1	2011	09	2156.98	174.0	690.0
1	2011	10	2504.02	176.0	799.0
1	2011	11	2266.72	182.0	745.0
1	2011	12	2633.02	197.0	815.0
1	2012	01	2280.26	202.0	756.0
1	2012	02	2309.37	195.0	759.0
1	2012	03	2607.32	207.0	808.0
1	2012	04	2647.46	232.0	845.0
1	2012	05	2332.35	212.0	734.0
1	2012	06	2507.64	192.0	694.0
1	2012	07	2296.95	187.0	764.0
1	2012	08	2170.11	208.0	708.0
1	2012	09	2294.26	203.0	766.0
1	2012	10	2194.53	193.0	698.0
1	2012	11	2307.84	187.0	718.0
1	2012	12	2719.8	174.0	730.0
1	2013	01	2338.33	176.0	685.0
1	2013	02	2211.75	158.0	637.0
1	2013	03	2387.88	173.0	669.0
1	2013	04	2262.77	184.0	693.0
1	2013	05	2084.35	176.0	604.0
1	2013	06	1830.44	159.0	605.0
1	2013	07	2415.29	162.0	676.0
1	2013	08	1904.79	135.0	531.0
1	2013	09	2598.55	168.0	768.0
1	2013	10	2154.93	164.0	623.0
1	2013	11	2034.57	151.0	590.0
1	2013	12	1826.38	146.0	616.0
1	2014	01	2138.01	152.0	685.0
1	2014	02	1813.87	113.0	559.0
1	2014	03	2281.69	161.0	665.0
1	2014	04	1442.89	126.0	476.0
1	2014	05	1752.61	151.0	634.0
1	2014	06	1968.17	142.0	618.0
1	2014	07	1702.78	137.0	538.0
1	2014	08	1597.61	130.0	573.0
1	2014	09	1684.18	148.0	553.0
1	2014	10	1560.09	139.0	527.0
1	2014	11	1932.73	141.0	636.0
1	2014	12	1558.54	134.0	542.0
1	2015	01	2143.44	169.0	678.0
1	2015	02	1621.83	154.0	530.0
1	2015	03	2268.43	182.0	750.0
1	2015	04	1670.51	173.0	566.0
1	2015	05	2335.46	199.0	771.0
1	2015	06	1865.52	183.0	619.0
1	2015	07	2324.62	200.0	708.0
1	2015	08	1896.14	194.0	624.0
1	2015	09	2124.74	198.0	747.0
1	2015	10	1864.29	168.0	607.0
1	2015	11	1506.87	137.0	510.0
1	2015	12	1538.39	139.0	495.0
1	2016	01	1685.52	139.0	535.0
1	2016	02	1171.34	122.0	368.0
