student	state	district_num	formatted_dist_num	abbrev	district	candidate	party	website	twitter handle	incumbent	age	gender	marital_status	white_non_hispanic	hispanic	black	partisian_lean_pvi	opposed	pct_urban	income	region
alex	Hawaii	1	01	HI	HI01	Zachary Burd 	Green	https://www.zachburdlaw.com/	burd_zach	No		Male	Single	T	F	F	D+17	Yes	99.27	65,602	W
alex	Hawaii	1	01	HI	HI01	Ed Case 	Democratic	https://www.edcase.com/	EdCaseHawaii	No		Male	Married	T	F	F	D+17	Yes	99.27	65602	W
alex	Hawaii	1	01	HI	HI01	Campbell Cavasso 	Republican	https://www.cam4congress.com/	camcavasso	No		Male	Married	T	F	F	D+17	Yes	99.27	65602	W
alex	Hawaii	1	01	HI	HI01	Michelle Tippens 	Libertarian	https://www.michelleindahouse.com/	michelletippens	No		Female	Married	T	F	F	D+17	Yes	99.27	65602	W
alex	Illinois	12	12	IL	IL12	Randall Auxier 	Green	https://randyforcongress.org/	Randy4SoIL	No		Male	Married	T	F	F	R+5	Yes	75.4	42181	MW
alex	Illinois	12	12	IL	IL12	Mike Bost 	Republican	https://bost.house.gov/	RepBost	Yes	57	Male	Married	T	F	F	R+5	Yes	75.4	42181	MW
alex	Illinois	12	12	IL	IL12	Brendan Kelly 	Democratic	https://brendan4southernil.com/	Kelly4SouthrnIL	No	41	Male	Married	T	F	F	R+5	Yes	75.4	42181	MW
alex	Illinois	16	16	IL	IL16	Sara Dady 	Democratic	https://www.saradadyforcongress.com/	Sara4Congress	No		Female	Married	T	F	F	R+8	Yes	71	52,101	MW
alex	Illinois	16	16	IL	IL16	Adam Kinzinger 	Republican	https://kinzinger.house.gov/	RepKinzinger	Yes	40	Male	Married	T	F	F	R+8	Yes	71	52101	MW
alex	Iowa	3	03	IA	IA03	Cindy Axne 	Democratic	https://cindyaxneforcongress.com/	Axne4Congress	No		Female	Married	T	F	F	R+18	Yes	73.07	43176	MW
alex	Iowa	3	03	IA	IA03	Mark G Elworth, Jr 	Legal Medical Now	markjr4gov.com	markjr4gov	No		Male	Married	T	F	F	R+18	Yes	73.07	43176	MW
alex	Iowa	3	03	IA	IA03	Bryan Jack Holder 	Libertarian	http://www.holderforiowa.com/		No		Male	Single	T	F	F	R+18	Yes	73.07	43176	MW
alex	Iowa	3	03	IA	IA03	Paul Knupp 	Green	https://knuppforcongress.org/	dr_paul_knupp	No		Male	Single	T	F	F	R+18	Yes	73.07	43176	MW
alex	Iowa	3	03	IA	IA03	David Young 	Republican	https://davidyoung.house.gov/	RepDavidYoung	Yes	50	Male	Single	T	F	F	R+18	Yes	73.07	43176	MW
alex	Nebraska	3	03	NE	NE03	Adrian Smith 	Republican	https://adriansmith.house.gov/	RepAdrianSmith	Yes	47	Male	Married	T	F	F	R+27	Yes	46.21	33866	MW
alex	Nebraska	3	03	NE	NE03	Paul Theobald 	Democratic	https://www.theobaldforcongress.com/	Paul_Theobald_	No		Male	Married	T	F	F	R+27	Yes	46.21	33866	MW
alex	New Jersey	5	05	NJ	NJ05	Josh Gottheimer 	Democratic	https://josh4congress.com/	JoshGottheimer	Yes	43	Male	Married	T	F	F	R+8	Yes	82.83	72781	NE
alex	New Jersey	5	05	NJ	NJ05	John McCann 	Republican	https://www.mccannforcongress.com/	realJohnMccan	No		Male	Married	T	F	F	R+8	Yes	82.83	72781	NE
alex	New York	6	06	NY	NY06	Tom Hillgardner 	Green	http://www.tomhillgardnerforcongress.org/	Tom4CongressNY6	No	60	Male	Single	T	F	F	D+16	Yes		55043	NE
alex	New York	6	06	NY	NY06	Grace Meng 	Democratic	https://meng.house.gov/	RepGraceMeng	Yes	43	Female	Married	F	F	F	D+16	Yes		55043	NE
alex	New York	24	24	NY	NY24	Dana Balter 	Democratic	https://electdanabalter.com/	dana_balter	No		Female	Married	T	F	F	D+3	Yes		51724	NE
alex	New York	24	24	NY	NY24	Bill Bass 	Independent	https://www.billbassforcongress.com/	BillforNY24	No	34	Male	Married	T	F	F	D+3	Yes		51724	NE
alex	New York	24	24	NY	NY24	John Katko 	Republican	https://katko.house.gov/	RepJohnKatko	Yes	55	Male	Married	T	F	F	D+3	Yes		51724	NE
alex	North Carolina	8	08	NC	NC08	Richard Hudson 	Republican	https://hudson.house.gov/	RepRichHudson	Yes	46	Male	Married	T	F	F	R+8	Yes	71.28	38390	S
